isha,maghrib,asr,zuhr,sunrise,fajr
9:23,7:44,4:22,12:37,5:33,3:52
9:23,7:43,4:22,12:37,5:33,3:53
9:22,7:43,4:22,12:37,5:34,3:54
9:22,7:42,4:22,12:37,5:35,3:55
9:20,7:41,4:22,12:37,5:35,3:56
9:19,7:41,4:22,12:37,5:36,3:57
9:18,7:40,4:22,12:37,5:37,3:58
9:17,7:40,4:22,12:37,5:37,3:59
9:16,7:39,4:22,12:37,5:38,4:00
9:15,7:38,4:22,12:37,5:39,4:01
9:14,7:38,4:22,12:37,5:39,4:02
9:13,7:37,4:22,12:37,5:40,4:03
9:12,7:36,4:22,12:37,5:41,4:04
9:11,7:35,4:21,12:37,5:42,4:05
9:10,7:35,4:21,12:37,5:42,4:06
9:08,7:34,4:21,12:37,5:43,4:06
9:07,7:33,4:21,12:37,5:44,4:07
9:06,7:32,4:21,12:37,5:44,4:08
9:05,7:31,4:20,12:37,5:45,4:09
9:03,7:30,4:20,12:36,5:46,4:10
9:02,7:29,4:20,12:36,5:47,4:11
9:01,7:28,4:20,12:36,5:47,4:12
9:00,7:27,4:19,12:36,5:48,4:13
8:58,7:26,4:19,12:36,5:49,4:14
8:57,7:25,4:19,12:36,5:50,4:15
8:56,7:24,4:19,12:36,5:50,4:16
8:54,7:23,4:18,12:36,5:51,4:18
8:53,7:22,4:18,12:36,5:52,4:19
8:51,7:21,4:17,12:35,5:52,4:20
8:50,7:20,4:17,12:35,5:53,4:21
8:49,7:19,4:17,12:35,5:54,4:22
8:47,7:18,4:16,12:35,5:55,4:23
8:46,7:17,4:16,12:35,5:55,4:24
8:44,7:15,4:15,12:34,5:56,4:25
8:43,7:14,4:15,12:34,5:57,4:26
8:41,7:13,4:14,12:34,5:57,4:27
8:40,7:12,4:14,12:34,5:58,4:28
8:38,7:11,4:13,12:33,5:59,4:29
8:37,7:09,4:13,12:33,6:00,4:30
8:35,7:08,4:12,12:33,6:00,4:31
8:34,7:07,4:11,12:33,6:01,4:32
8:32,7:06,4:11,12:32,6:02,4:33
8:31,7:04,4:10,12:32,6:02,4:33
8:29,7:03,4:10,12:32,6:03,4:34
8:28,7:02,4:09,12:31,6:04,4:35
8:26,7:00,4:08,12:31,6:05,4:36
8:24,6:59,4:08,12:31,6:05,4:37
8:23,6:58,4:07,12:30,6:06,4:38
8:21,6:56,4:06,12:30,6:07,4:39
8:20,6:55,4:05,12:30,6:07,4:40
8:18,6:54,4:05,12:29,6:08,4:41
8:17,6:52,4:04,12:29,6:09,4:42
8:15,6:51,4:03,12:29,6:09,4:43
8:14,6:50,4:02,12:28,6:10,4:43
8:12,6:48,4:02,12:28,6:11,4:44
8:11,6:47,4:01,12:28,6:11,4:45
8:09,6:45,4:00,12:27,6:12,4:46
8:08,6:44,3:59,12:27,6:13,4:47
8:06,6:43,3:58,12:27,6:14,4:48
8:04,6:41,3:58,12:26,6:14,4:49
8:03,6:40,3:57,12:26,6:15,4:49
8:01,6:38,3:56,12:26,6:16,4:50
8:00,6:37,3:55,12:25,6:16,4:51
7:58,6:36,3:54,12:25,6:17,4:52
7:57,6:34,3:53,12:24,6:18,4:53
7:55,6:34,3:52,12:24,6:18,4:54
7:54,6:31,3:52,12:24,6:19,4:54
7:52,6:30,3:51,12:23,6:20,4:55
7:51,6:29,3:50,12:23,6:20,4:56
7:50,6:27,3:49,12:23,6:21,4:56
7:48,6:26,3:48,12:22,6:22,4:57
7:47,6:24,3:47,12:22,6:23,4:58
7:45,6:23,3:46,12:22,6:23,4:59
7:43,6:22,3:45,12:21,6:24,5:00
7:42,6:20,3:44,12:21,6:25,5:01
7:41,6:19,3:43,12:21,6:25,5:02
7:40,6:18,3:42,12:20,6:26,5:02
7:38,6:16,3:41,12:20,6:27,5:03
7:37,6:15,3:40,12:20,6:28,5:04
7:36,6:13,3:40,12:19,6:28,5:05
7:34,6:12,3:39,12:19,6:29,5:05
7:33,6:11,3:38,12:19,6:30,5:06
7:32,6:09,3:37,12:19,6:31,5:07
7:30,6:08,3:36,12:18,6:31,5:08
7:29,6:07,3:35,12:18,6:32,5:08
7:28,6:05,3:34,12:18,6:33,5:09
7:26,6:04,3:33,12:17,6:34,5:10
7:25,6:03,3:32,12:17,6:34,5:11
7:24,6:02,3:31,12:17,6:35,5:12
7:23,6:00,3:30,12:17,6:36,5:12
7:21,5:59,3:30,12:16,6:37,5:13
7:20,5:58,3:29,12:16,6:38,5:14
7:19,5:57,3:28,12:16,6:38,5:15
7:16,5:55,3:27,12:16,6:39,5:16
7:17,5:54,3:26,12:16,6:40,5:16
7:15,5:53,3:25,12:16,6:41,5:17
7:14,5:52,3:24,12:15,6:42,5:18
7:13,5:51,3:23,12:15,6:42,5:19
7:12,5:49,3:22,12:15,6:43,5:20
7:11,5:48,3:21,12:15,6:44,5:21
7:10,5:47,3:20,12:15,6:45,5:21
7:09,5:46,3:20,12:15,6:46,5:22
7:08,5:45,3:19,12:15,6:47,5:23
7:07,5:44,3:18,12:14,6:48,5:24
7:06,5:43,3:17,12:14,6:48,5:25
7:05,5:42,3:16,12:14,6:49,5:25
7:04,5:41,3:16,12:14,6:50,5:26
7:03,5:40,3:15,12:14,6:51,5:27
7:02,5:39,3:14,12:14,6:52,5:28
7:01,5:38,3:14,12:14,6:53,5:29
7:00,5:37,3:13,12:14,6:54,5:29
7:00,5:36,3:12,12:14,6:55,5:30
6:59,5:35,3:12,12:14,6:56,5:30
6:58,5:35,3:11,12:14,6:57,5:31
6:57,5:34,3:10,12:14,6:58,5:32
6:57,5:33,3:10,12:15,6:59,5:33
6:56,5:32,3:09,12:15,6:59,5:34
6:56,5:32,3:09,12:15,7:00,5:34
6:55,5:31,3:08,12:15,7:01,5:35
6:55,5:30,3:08,12:15,7:02,5:36
6:54,5:29,3:07,12:15,7:03,5:37
6:54,5:29,3:07,12:15,7:04,5:38
6:53,5:28,3:06,12:15,7:05,5:39
6:52,5:28,3:06,12:16,7:06,5:39
6:52,5:27,3:05,12:16,7:07,5:40
6:52,5:27,3:05,12:16,7:08,5:41
6:51,5:26,3:05,12:16,7:09,5:42
6:51,5:26,3:04,12:17,7:10,5:43
6:51,5:25,3:04,12:17,7:11,5:43
6:51,5:25,3:04,12:17,7:12,5:44
6:50,5:24,3:03,12:17,7:13,5:45
6:50,5:24,3:03,12:18,7:14,5:46
6:50,5:24,3:03,12:18,7:15,5:47
6:50,5:24,3:03,12:18,7:15,5:47
6:50,5:23,3:03,12:19,7:16,5:48
6:50,5:23,3:03,12:19,7:17,5:49
6:50,5:23,3:03,12:19,7:18,5:50
6:50,5:23,3:03,12:20,7:19,5:50
6:50,5:23,3:03,12:20,7:20,5:51
6:50,5:23,3:03,12:20,7:21,5:52
6:50,5:22,3:03,12:21,7:21,5:53
6:50,5:22,3:03,12:21,7:22,5:54
6:50,5:22,3:03,12:22,7:23,5:55
6:51,5:22,3:03,12:22,7:24,5:55
6:51,5:23,3:03,12:23,7:25,5:56
6:51,5:23,3:03,12:23,7:25,5:57
6:51,5:23,3:03,12:23,7:26,5:58
6:51,5:23,3:04,12:24,7:27,5:58
6:51,5:23,3:04,12:24,7:28,5:58
6:52,5:23,3:04,12:25,7:28,5:59
6:52,5:24,3:04,12:25,7:29,6:00
6:52,5:24,3:05,12:26,7:30,6:00
6:52,5:24,3:05,12:26,7:30,6:01
6:53,5:25,3:05,12:27,7:31,6:01
6:54,5:25,3:06,12:27,7:32,6:02
6:54,5:25,3:06,12:27,7:32,6:03
6:54,5:26,3:07,12:28,7:33,6:03
6:55,5:26,3:07,12:28,7:33,6:04
6:56,5:27,3:08,12:29,7:34,6:04
6:56,5:27,3:08,12:30,7:34,6:05
6:57,5:28,3:09,12:30,7:35,6:05
6:58,5:28,3:09,12:31,7:35,6:06
6:58,5:29,3:10,12:31,7:36,6:06
6:59,5:30,3:11,12:32,7:36,6:06
7:00,5:30,3:11,12:32,7:36,6:07
7:01,5:31,3:12,12:33,7:37,6:07
1:02,5:32,3:13,12:33,7:37,6:07
7:03,5:32,3:13,12:34,7:37,6:08
