isha,maghrib,asr,zuhr,noon,sunrise,fajr
9:29,7:47,5:32,12:32,11:39,5:19,3:35
9:30,7:47,5:32,12:32,11:39,5:19,3:35
9:30,7:47,5:33,12:32,11:39,5:19,3:35
9:30,7:47,5:33,12:32,11:40,5:19,3:35
9:30,7:48,5:33,12:33,11:40,5:20,3:35
9:31,7:48,5:33,12:33,11:40,5:20,3:36
9:31,7:49,5:34,12:33,11:40,5:20,3:36
9:31,7:49,5:34,12:33,11:41,5:20,3:36
9:31,7:49,5:34,12:33,11:41,5:21,3:36
9:31,7:50,5:34,12:33,11:41,5:21,3:37
9:31,7:50,5:34,12:34,11:41,5:21,3:37
9:31,7:50,5:34,12:34,11:42,5:21,3:37
9:31,7:50,5:35,12:34,11:42,5:22,3:38
9:31,7:50,5:35,12:34,11:42,5:22,3:38
9:31,7:50,5:35,12:35,11:43,5:23,3:39
9:31,7:50,5:35,12:35,11:43,5:23,3:39
9:31,7:50,5:35,12:35,11:43,5:23,3:40
9:31,7:50,5:35,12:35,11:43,5:23,3:40
9:31,7:50,5:35,12:35,11:44,5:24,3:41
9:31,7:50,5:35,12:35,11:44,5:24,3:42
9:30,7:49,5:35,12:36,11:44,5:25,3:43
9:30,7:49,5:35,12:36,11:45,5:25,3:44
9:30,7:49,5:35,12:36,11:45,5:26,3:45
9:30,7:49,5:35,12:36,11:45,5:27,3:46
9:29,7:48,5:35,12:36,11:45,5:28,3:46
9:29,7:48,5:35,12:36,11:46,5:29,3:46
9:28,7:47,5:35,12:37,11:46,5:29,3:47
9:27,7:47,5:35,12:37,11:46,5:30,3:48
9:26,7:47,5:35,12:37,11:47,5:30,3:49
9:25,7:46,5:35,12:37,11:47,5:30,3:50
9:24,7:46,5:35,12:37,11:47,5:31,3:51
9:23,7:45,5:35,12:37,11:47,5:31,3:52
9:22,7:45,5:34,12:37,11:47,5:32,3:53
9:21,7:44,5:34,12:37,11:48,5:33,3:54
9:21,7:44,5:34,12:37,11:48,5:34,3:55
9:20,7:43,5:34,12:37,11:48,5:34,3:56
9:19,7:43,5:34,12:37,11:48,5:35,3:57
9:18,7:42,5:34,12:37,11:48,5:36,3:58
9:17,7:42,5:33,12:38,11:49,5:36,3:59
9:16,7:41,5:33,12:38,11:49,5:37,4:00
9:15,7:40,5:33,12:38,11:49,5:38,4:01
9:14,7:40,5:33,12:38,11:49,5:39,4:02
9:13,7:39,5:32,12:38,11:49,5:39,4:03
9:12,7:38,5:32,12:38,11:49,5:39,4:04
9:11,7:37,5:32,12:37,11:49,5:40,4:05
9:11,7:37,5:31,12:37,11:49,5:41,4:06
9:09,7:36,5:32,12:37,11:49,5:42,4:07
9:08,7:35,5:31,12:37,11:50,5:42,4:08
9:07,7:34,5:31,12:37,11:50,5:42,4:09
9:06,7:33,5:30,12:37,11:50,5:43,4:10
9:05,7:32,5:30,12:37,11:50,5:44,4:12
9:04,7:31,5:29,12:37,11:50,5:45,4:13
9:03,7:30,5:28,12:37,11:50,5:46,4:14
9:01,7:29,5:28,12:37,11:50,5:46,4:15
9:00,7:28,5:28,12:37,11:50,5:47,4:16
8:58,7:27,5:27,12:36,11:50,5:48,4:17
8:57,7:26,5:26,12:36,11:50,5:49,4:18
8:55,7:25,5:25,12:36,11:50,5:50,4:19
8:53,7:24,5:24,12:36,11:50,5:51,4:20
8:53,7:23,5:24,12:36,11:50,5:51,4:21
8:51,7:22,5:23,12:36,11:50,5:52,4:22
8:49,7:21,5:22,12:36,11:50,5:52,4:23
8:48,7:20,5:22,12:35,11:50,5:53,4:24
8:47,7:19,5:21,12:35,11:49,5:53,4:25
8:46,7:18,5:20,12:35,11:49,5:54,4:26
8:45,7:17,5:20,12:35,11:49,5:55,4:27
8:42,7:16,5:19,12:35,11:49,5:56,4:28
8:40,7:14,5:18,12:35,11:49,5:56,4:29
8:39,7:12,5:17,12:34,11:49,5:57,4:30
8:38,7:11,5:16,12:34,11:49,5:58,4:31
8:36,7:10,5:14,12:34,11:49,5:58,4:32
8:34,7:09,5:14,12:34,11:49,5:59,4:34
8:32,7:08,5:13,12:34,11:49,5:59,4:35
8:31,7:06,5:13,12:34,11:48,6:00,4:35
8:30,7:05,5:12,12:34,11:48,6:01,4:35
8:28,7:04,5:11,12:34,11:48,6:02,4:36
8:28,7:04,5:11,12:34,11:48,6:03,4:36
8:24,7:01,5:09,12:31,11:47,6:04,4:39
8:23,6:59,5:08,12:31,11:47,6:04,4:39
8:22,6:58,5:07,12:31,11:47,6:05,4:40
8:20,6:57,5:06,12:30,11:47,6:06,4:41
8:19,6:55,5:05,12:30,11:47,6:07,4:42
8:17,6:54,5:04,12:29,11:46,6:08,4:43
8:16,6:52,5:03,12:29,11:46,6:08,4:44
8:14,6:51,5:02,12:28,11:45,6:09,4:45
8:14,6:51,5:02,12:28,11:45,6:09,4:45
8:11,6:48,5:00,12:28,11:45,6:10,4:46
8:10,6:47,4:58,12:28,11:44,6:10,4:47
8:08,6:46,4:57,12:27,11:44,6:11,4:47
8:07,6:45,4:56,12:27,11:44,6:11,4:48
8:06,6:44,4:55,12:26,11:44,6:12,4:49
8:05,6:43,4:54,12:26,11:44,6:12,4:50
8:03,6:41,4:53,12:25,11:43,6:14,4:51
8:01,6:39,4:52,12:25,11:43,6:14,4:52
8:00,6:38,4:51,12:25,11:43,6:15,4:53
7:58,6:37,4:49,12:25,11:43,6:16,4:53
7:56,6:35,4:48,12:24,11:42,6:17,4:54
7:54,6:33,4:47,12:24,11:42,6:17,4:55
7:53,6:32,4:46,12:23,11:42,6:18,4:56
7:51,6:30,4:45,12:23,11:42,6:19,4:57
7:50,6:29,4:43,12:23,11:42,6:20,4:58
7:49,6:28,4:42,12:23,11:42,6:20,4:59
7:47,6:26,4:41,12:22,11:41,6:21,4:59
7:46,6:25,4:40,12:22,11:41,6:22,5:00
7:44,6:24,4:39,12:21,11:41,6:23,5:01
7:43,6:23,4:38,12:21,11:41,6:24,5:01
7:41,6:21,4:36,12:21,11:40,6:24,5:02
7:40,6:19,4:35,12:21,11:39,6:25,5:03
7:38,6:18,4:34,12:21,11:39,6:25,5:04
7:37,6:16,4:33,12:21,11:39,6:26,5:05
7:36,6:15,4:32,12:20,11:38,6:27,5:06
7:35,6:14,4:31,12:20,11:38,6:28,5:06
7:33,6:14,4:30,12:19,11:38,6:29,5:07
7:32,6:12,4:29,12:19,11:38,6:29,5:08
7:31,6:10,4:27,12:19,11:37,6:30,5:09
7:30,6:09,4:26,12:19,11:37,6:30,5:10
7:29,6:08,4:25,12:18,11:36,6:31,5:10
7:28,6:06,4:24,12:18,11:36,6:32,5:11
7:26,6:05,4:23,12:18,11:36,6:33,5:12
7:25,6:04,4:22,12:18,11:36,6:33,5:13
7:24,6:03,4:21,12:17,11:35,6:34,5:13
7:22,6:01,4:19,12:17,11:35,6:35,5:14
7:20,6:00,4:18,12:17,11:35,6:36,5:14
7:19,5:59,4:17,12:17,11:35,6:37,5:15
7:18,5:58,4:16,12:16,11:35,6:38,5:16
7:17,5:57,4:15,12:16,11:35,6:38,5:16
7:16,5:55,4:14,12:16,11:34,6:39,5:17
7:15,5:54,4:13,12:16,11:34,6:40,5:18
7:14,5:53,4:12,12:16,11:34,6:41,5:19
7:13,5:51,4:11,12:16,11:34,6:42,5:20
7:12,5:50,4:09,12:15,11:34,6:43,5:21
7:11,5:49,4:08,12:15,11:34,6:44,5:21
7:10,5:48,4:07,12:15,11:33,6:45,5:22
7:09,5:47,4:06,12:15,11:33,6:46,5:23
7:08,5:46,4:05,12:15,11:33,6:47,5:24
7:07,5:45,4:04,12:15,11:33,6:47,5:25
7:06,5:44,4:03,12:15,11:33,6:48,5:25
7:05,5:43,4:02,12:15,11:33,6:49,5:26
7:04,5:42,4:02,12:15,11:32,6:50,5:27
7:04,5:41,4:01,12:15,11:32,6:51,5:28
7:03,5:40,4:00,12:15,11:32,6:52,5:28
7:03,5:40,3:59,12:15,11:32,6:53,5:29
7:02,5:39,3:59,12:15,11:32,6:54,5:30
7:01,5:38,3:58,12:15,11:32,6:54,5:31
7:00,5:37,3:57,12:15,11:32,6:55,5:32
7:00,5:36,3:56,12:15,11:32,6:56,5:32
6:59,5:36,3:55,12:15,11:32,6:57,5:33
6:58,5:35,3:54,12:15,11:32,6:59,5:33
6:58,5:34,3:53,12:15,11:32,6:59,5:34
6:57,5:33,3:53,12:15,11:33,7:00,5:35
6:57,5:33,3:51,12:15,11:33,7:01,5:36
6:56,5:32,3:51,12:15,11:33,7:02,5:37
6:56,5:32,3:51,12:16,11:33,7:03,5:38
6:55,5:31,3:51,12:16,11:33,7:04,5:39
6:55,5:30,3:50,12:16,11:33,7:05,5:40
6:54,5:29,3:50,12:16,11:33,7:06,5:41
6:53,5:28,3:49,12:16,11:33,7:07,5:42
6:53,5:28,3:49,12:17,11:33,7:08,5:42
6:52,5:27,3:48,12:17,11:33,7:09,5:43
6:52,5:27,3:48,12:17,11:33,7:10,5:44
6:52,5:27,3:47,12:17,11:33,7:10,5:45
6:51,5:27,3:47,12:18,11:33,7:11,5:46
6:51,5:27,3:46,12:18,11:34,7:12,5:46
6:51,5:27,3:46,12:18,11:34,7:13,5:47
6:51,5:27,3:46,12:19,11:35,7:14,5:48
6:50,5:26,3:46,12:19,11:35,7:14,5:49
6:50,5:26,3:45,12:19,11:36,7:15,5:50
6:50,5:26,3:45,12:20,11:36,7:16,5:50
6:50,5:26,3:45,12:20,11:36,7:17,5:51
6:50,5:25,3:45,12:20,11:36,7:18,5:52
6:50,5:25,3:45,12:20,11:36,7:19,5:52
6:50,5:25,3:45,12:21,11:37,7:20,5:53
6:50,5:25,3:45,12:21,11:37,7:21,5:54
6:50,5:25,3:45,12:22,11:37,7:22,5:55
6:50,5:25,3:45,12:22,11:37,7:23,5:56
6:50,5:25,3:45,12:23,11:38,7:24,5:57
6:50,5:25,3:45,12:23,11:38,7:25,5:57
6:51,5:26,3:45,12:24,11:39,7:26,5:58
6:51,5:26,3:45,12:24,11:39,7:27,5:58
6:52,5:26,3:46,12:25,11:39,7:28,5:59
6:52,5:26,3:46,12:25,11:39,7:28,6:00
6:52,5:27,3:46,12:26,11:40,7:29,6:00
6:52,5:27,3:46,12:26,11:40,7:30,6:00
6:53,5:27,3:46,12:27,11:41,7:30,6:01
6:53,5:27,3:46,12:27,11:41,7:31,6:02
6:54,5:28,3:47,12:28,11:42,7:31,6:02
6:54,5:28,3:47,12:28,11:42,7:32,6:02
6:55,5:29,3:48,12:29,11:43,7:32,6:03
6:55,5:29,3:48,12:29,11:43,7:33,6:03
6:55,5:30,3:48,12:30,11:44,7:33,6:04
6:55,5:30,3:48,12:30,11:44,7:34,6:04
6:57,5:31,3:49,12:31,11:45,7:34,6:05
6:57,5:31,3:49,12:31,11:45,7:35,6:05
6:58,5:32,3:50,12:32,11:46,7:35,6:06
6:58,5:32,3:51,12:32,11:46,7:36,6:06
6:59,5:33,3:52,12:33,11:47,7:36,6:07
6:59,5:33,3:53,12:34,11:47,7:37,6:07
7:00,5:34,3:53,12:34,11:48,7:37,6:08
7:00,5:35,3:53,12:34,11:48,7:37,6:08
